,make_model,power_kW,mileage,age,engine_size,type
0,Mercedes-Benz A 180,85.0,27150.0,2.0,1461.0,Used
2,Mercedes-Benz A 180,85.0,21734.0,2.0,1461.0,Used
3,Mercedes-Benz A 180,80.0,172700.0,4.0,1461.0,Used
4,Mercedes-Benz A 180,85.0,18989.0,2.0,1461.0,Used
5,Mercedes-Benz A 180,100.0,25.0,1.0,1332.0,Pre-registered
6,Mercedes-Benz A 180,80.0,172700.0,4.0,1461.0,Used
7,Mercedes-Benz A 180,100.0,20124.0,2.0,1332.0,Used
8,Mercedes-Benz A 180,90.0,63871.0,5.0,1595.0,Used
9,Mercedes-Benz A 180,100.0,26900.0,2.0,1332.0,Used
10,Mercedes-Benz A 180,85.0,87700.0,4.0,1461.0,Used
11,Mercedes-Benz A 180,100.0,52497.0,3.0,1332.0,Used
12,Mercedes-Benz A 180,80.0,118059.0,8.0,1461.0,Used
13,Mercedes-Benz A 180,85.0,98258.0,3.0,1461.0,Used
14,Mercedes-Benz A 180,85.0,141980.0,11.0,1699.0,Used
15,Mercedes-Benz A 180,80.0,71098.0,4.0,1461.0,Used
16,Mercedes-Benz A 180,85.0,26500.0,1.0,1461.0,Used
17,Mercedes-Benz A 180,85.0,43987.0,3.0,1461.0,Used
18,Mercedes-Benz A 180,80.0,139000.0,6.0,1461.0,Used
19,Mercedes-Benz A 180,80.0,71098.0,4.0,1461.0,Used
20,Mercedes-Benz A 180,100.0,58813.0,2.0,1332.0,Used
21,Mercedes-Benz A 180,85.0,98258.0,3.0,1461.0,Used
22,Mercedes-Benz A 180,80.0,172700.0,4.0,1461.0,Used
23,Mercedes-Benz A 180,85.0,68900.0,3.0,1461.0,Used
24,Mercedes-Benz A 180,85.0,49600.0,4.0,1461.0,Used
25,Mercedes-Benz A 180,100.0,28330.0,2.0,1332.0,Used
26,Mercedes-Benz A 180,100.0,67626.0,2.0,1332.0,Used
27,Mercedes-Benz A 180,80.0,61618.0,4.0,1461.0,Used
28,Mercedes-Benz A 180,100.0,17115.0,2.0,1332.0,Used
29,Mercedes-Benz A 180,100.0,19785.0,1.0,1461.0,Used
30,Mercedes-Benz A 180,85.0,91754.0,3.0,1461.0,Used
31,Mercedes-Benz A 180,90.0,46403.0,4.0,1595.0,Used
32,Mercedes-Benz A 180,85.0,49658.0,10.0,1699.0,Used
33,Mercedes-Benz A 180,80.0,71098.0,4.0,1461.0,Used
34,Mercedes-Benz A 180,100.0,23644.0,0.0,1332.0,Used
35,Mercedes-Benz A 180,100.0,78300.0,3.0,1332.0,Used
36,Mercedes-Benz A 180,80.0,93914.0,7.0,1461.0,Used
37,Mercedes-Benz A 180,80.0,199000.0,10.0,1991.0,Used
38,Mercedes-Benz A 180,80.0,194367.0,8.0,1461.0,Used
39,Mercedes-Benz A 180,80.0,184748.0,5.0,1461.0,Used
40,Mercedes-Benz A 180,80.0,236233.0,6.0,1461.0,Used
41,Mercedes-Benz A 180,80.0,177477.0,6.0,1461.0,Used
42,Mercedes-Benz A 180,90.0,188018.0,8.0,1595.0,Used
43,Mercedes-Benz A 180,80.0,165282.0,10.0,1461.0,Used
44,Mercedes-Benz A 180,80.0,141989.0,5.0,1461.0,Used
46,Mercedes-Benz A 180,80.0,123000.0,10.0,1991.0,Used
47,Mercedes-Benz A 180,85.0,51078.0,3.0,1461.0,Used
48,Mercedes-Benz A 180,80.0,154000.0,8.0,1500.0,Used
49,Mercedes-Benz A 180,85.0,51078.0,3.0,1461.0,Used
50,Mercedes-Benz A 180,80.0,61618.0,4.0,1461.0,Used
51,Mercedes-Benz A 180,100.0,25681.0,2.0,1332.0,Used
52,Mercedes-Benz A 180,85.0,99597.0,3.0,1461.0,Used
53,Mercedes-Benz A 180,90.0,99939.0,6.0,1595.0,Used
54,Mercedes-Benz A 180,85.0,29721.0,3.0,1461.0,Used
55,Mercedes-Benz A 180,80.0,140230.0,9.0,1461.0,Used
56,Mercedes-Benz A 180,80.0,61618.0,4.0,1461.0,Used
57,Mercedes-Benz A 180,90.0,135462.0,7.0,1595.0,Used
58,Mercedes-Benz A 180,90.0,82571.0,4.0,1595.0,Used
59,Mercedes-Benz A 180,90.0,96488.0,7.0,1595.0,Used
60,Mercedes-Benz A 180,90.0,109275.0,4.0,1595.0,Used
61,Mercedes-Benz A 180,90.0,161839.0,9.0,1595.0,Used
62,Mercedes-Benz A 180,85.0,96300.0,4.0,1461.0,Used
63,Mercedes-Benz A 180,100.0,74458.0,4.0,1332.0,Used
64,Mercedes-Benz A 180,100.0,14683.0,1.0,1332.0,Used
65,Mercedes-Benz A 180,90.0,108208.0,7.0,1595.0,Used
66,Mercedes-Benz A 180,90.0,100532.0,9.0,1595.0,Used
67,Mercedes-Benz A 180,85.0,86000.0,3.0,1461.0,Used
68,Mercedes-Benz A 180,85.0,70840.0,4.0,1461.0,Used
69,Mercedes-Benz A 180,85.0,25919.0,3.0,1500.0,Used
